rank,institution,ai_ads
1,Wake Forest University,15
2,Stanford University,14
3,Eindhoven University of Technology,14
4,Lingnan University,14
5,Purdue University,11
6,Utrecht University,10
7,University of Amsterdam,10
8,Tilburg University,9
9,University of Florida,9
10,University of Oxford,8
11,Umea University,8
12,University of Hong Kong,8
13,Cambridge University,7
14,Carnegie Mellon University,7
15,University of Twente,6
16,Australian National University,6
17,York University,6
18,Northeastern University,6
19,California Institute of Technology,6
20,University of Edinburgh,6
21,University of Western Ontario,6
22,Hong Kong Baptist University,6
23,University of Connecticut,5
24,"Cycorp, Inc.",5
25,University of Toronto,5
26,Illinois Institute of Technology,5
27,Johns Hopkins University,4
28,Western University,4
29,Sweden,4
30,University of Georgia,4
31,National University of Singapore,4
32,Universität Erlangen-Nürnberg,4
33,University of Notre Dame,4
34,Friedrich-Alexander-University,4
35,Michigan State University,3
36,Monash University,3
37,University of Virginia,3
38,Minerva Schools at KGI,3
39,University of Western Australia,3
40,Carleton College,3
41,Skidmore College,3
42,Georgia State University,3
43,University of Texas at San Antonio,3
44,Fudan University,3
45,Massachusetts Institute of Technology,3
46,Cornell Tech,3
47,Oxford,3
48,Sentience Institute,3
49,University of Tuebingen,3
50,Inland Norway University of Applied Sciences,3
51,Boston,3
52,University of Glasgow,3
53,Universität Bonn,3
54,London School of Economics and Political Science,3
55,Oregon State University,3
56,George Mason University,3
57,TU Dortmund University,3
58,London School of Economics,3
59,University of Technology Nuremberg,3
60,Urbana-Champaign,3
61,University of Aarhus,2
62,Ruhr-University Bochum,2
63,University of Lorraine,2
64,University of Warsaw,2
65,Boston University,2
66,University of Otago,2
67,Harvard University,2
68,University of Macau,2
69,Dartmouth College,2
70,Rensselaer Polytechnic Institute,2
71,University of Guelph,2
72,University of Cambridge and University of Bonn,2
73,San Jose State University,2
74,Omaha,2
75,Santa Clara University,2
76,San Diego,2
77,University of Luxembourg,2
78,University of Pittsburgh,2
79,University of Canterbury,2
80,Georgetown University,2
81,Stanford University McCoy Family Center for Ethics in Society & the Institute for Human-Centered AI,2
82,Rheinische Friedrich-Wilhelms-Universität Bonn,2
83,National Yang Ming Chiao Tung University,2
84,Howard University,2
85,University of Bonn,2
86,Georgia Institute of Technology,2
87,University of Copenhagen,2
88,Macquarie University,2
89,Ruhr University Bochum,2
90,American University,2
91,Duke University,2
92,Colby College,2
93,Vanderbilt University,2
94,Durham University,2
95,Hamburg University of Technology,2
96,University of Illinois at Chicago,2
97,University of Pennsylvania,2
98,University of Cincinnati,2
99,Deep Springs College not BA-granting,2
100,Rice University,2
101,Madison,2
102,University of Bristol,2
103,Israel Institute of Technology,2
104,Singapore University of Technology and Design,2
105,University of North Carolina at Chapel Hill,2
106,University of Central Florida,2
107,New York University,2
108,Bowdoin College,2
109,University of South Dakota,2
110,The Ohio State University,2
111,Universidad de Murcia,1
112,CNR (Italian National Research Council),1
113,Beloit College,1
114,Mount Holyoke College,1
115,University of Victoria,1
116,Raritan Valley Community College,1
117,Cycorp,1
118,MI,1
119,Virginia Tech,1
