job_id,year,institution,department,job_title,job_category,std_category,aos,location
1941,2013,Universidad de Murcia,Department of Philosophy,Post-Doc Researcher position (EXPIRED),Postdoc or similar / Fixed term,Postdoc or similar,Philosophy & Cognitive Science,"Murcia, Murcia, Spain"
1947,2013,CNR (Italian National Research Council),"Laboratory for Applied Ontology, Institute of Cognitive Sciences and Technologies","Postdoctoral Research Fellowship 'Modelling of actors, states and processes of a socio-material system' (EXPIRED)",Postdoc or similar / Fixed term,Postdoc or similar,artificial intelligence,"Trento, Trentino-Alto Adige, Italy"
1967,2013,University of Amsterdam,"Institute for Logic, Language and Computation",PhD fellowship in cognitive modeling (EXPIRED),Graduate fellowship / Contract type open,Other/Open,"logic, cognitive modeling, formal semantics","Amsterdam, North Holland, Netherlands"
1969,2013,Stanford University,Stanford Online High School,Stanford Online High School Philosophy Core Instructor (EXPIRED),Other (non-academic) / Fixed term,Other/Open,Open,"Stanford, California, United States"
1982,2013,University of Aarhus,Philosophical and transdisciplinary Enquiry in Social Robotics,2-year Postdoctoral Research Fellowship in Artificial Intelligence/Robotics and Philosophy (EXPIRED),Postdoc or similar / Fixed term,Postdoc or similar,Artificial Intelligence/Robotics and Philosophy,"Aarhus, Central Jutland, Denmark"
2033,2013,Ruhr University Bochum,Institute of Philosophy II,PhD in Philosophy of Mind (EXPIRED),Graduate fellowship / Fixed term,Other/Open,Philosophy of Mind,"Bochum, North Rhine-Westphalia, Germany"
2130,2013,King's College London,"Social Science, Health & Medicine",Research Associate (EXPIRED),Junior faculty / Fixed term,Junior faculty,Probabilistic modelling of linguistic knowledge,"London, England, United Kingdom"
2142,2013,Tilburg University,,Full Professorship in the Philosophy of Science (EXPIRED),Senior faculty / Fixed term,Senior faculty,Philosophy of Science,"Tilburg, North Brabant, Netherlands"
2207,2013,University of Lorraine,Lorraine Research Laboratory in Computer Science and its Applications,PhD vacancies 'Epistemic protocol synthesis' (EXPIRED),Graduate fellowship / Fixed term,Other/Open,"Protocols for secure communication, protocol languages, and agency","Vandoeuvre-lès-Nancy, France"
2208,2013,University of Lorraine,Lorraine Research Laboratory in Computer Science and its Applications,Postdoc 'Epistemic protocol synthesis' (EXPIRED),"Faculty (open rank) / Tenured, continuing or permanent",Senior faculty,"Protocols for secure communication, protocol languages, and agency","Vandoeuvre-lès-Nancy, United Kingdom"
2217,2013,University of Warsaw,Institute of Philosophy,Postdoctoral position (EXPIRED),Postdoc or similar / Fixed term,Postdoc or similar,"Logic, Knowledge Representation and Reasoning, Cognitive Science, Artificial Intelligence","Warsaw, Masovian Voivodeship, Poland"
2218,2013,University of Warsaw,Institute of Philosophy,PhD Student Position (EXPIRED),Graduate fellowship / Fixed term,Other/Open,"Logic, Knowledge representation and reasoning, Cognitive Science, Artificial Intelligence","Warsaw, Masovian Voivodeship, Poland"
