year,total_jobs,philtech_jobs,ai_jobs,philtech_and_ai,philtech_only,ai_only,neither,pct_philtech,pct_ai,pct_philtech_and_ai,philtech_job_ids
2013,953,60,9,2,58,7,886,0.062959,0.009444,0.002099,1922|1931|1943|1947|1952|1969|1970|1976|2029|2039|2061|2083|2149|2150|2165|2170|2193|2220|2258|2268|2325|2341|2344|2351|2352|2366|2373|2390|2418|2421|2437|2440|2444|2453|2479|2505|2553|2568|2574|2576|2632|2662|2711|2727|2729|2738|2740|2741|2774|2778|2793|2801|2845|2854|2863|2864|2865|2891|2900|2901
2014,595,53,6,1,52,5,537,0.089076,0.010084,0.001681,2917|2919|2923|2972|2977|2980|2987|3023|3048|3066|3081|3126|3174|3175|3190|3198|3203|3206|3221|3230|3242|3263|3265|3273|3281|3296|3301|3314|3330|3348|3352|3359|3368|3369|3382|3383|3392|3397|3398|3405|3418|3453|3458|3476|3494|3506|3510|3514|3520|3523|3524|3539|3540
2015,572,45,6,1,44,5,522,0.078671,0.01049,0.001748,3568|3578|3586|3602|3663|3669|3676|3677|3692|3699|3749|3776|3782|3787|3808|3824|3825|3827|3834|3844|3856|3867|3889|3903|3941|3952|3953|3997|4040|4043|4045|4067|4077|4086|4087|4097|4101|4105|4170|4222|4246|4258|4262|4274|4326
2016,602,52,11,2,50,9,541,0.086379,0.018272,0.003322,4346|4422|4526|4602|4718|4722|4866|4874|4950|4958|4994|4998|5002|5006|5202|5230|5234|5318|5386|5390|5410|5454|5534|5626|5662|5670|5674|5682|5882|5930|5978|6014|6058|6110|6126|6190|6202|6206|6402|6434|6482|6486|6506|6518|6526|6550|6562|6590|6706|6714|6810|6898
2017,577,50,19,5,45,14,513,0.086655,0.032929,0.008666,6978|7054|7074|7086|7090|7238|7290|7422|7430|7474|7478|7494|7534|7734|7834|7966|7994|8050|8054|8078|8162|8174|8234|8250|8302|8318|8334|8346|8350|8386|8406|8482|8566|8662|8702|8706|8758|8774|8794|8814|8830|8850|8890|9078|9138|9166|9230|9258|9382|9402
2018,596,59,21,8,51,13,524,0.098993,0.035235,0.013423,9458|9502|9626|9630|9686|9690|9718|9722|9790|9818|9882|10002|10034|10198|10238|10242|10254|10286|10322|10406|10562|10690|10738|10794|10870|10890|10938|10942|10946|10974|11022|11026|11046|11126|11134|11142|11258|11274|11294|11326|11378|11390|11394|11410|11470|11518|11598|11614|11662|11674|11798|11810|11818|11834|11838|11850|11866|11946|11958
2019,634,60,42,19,41,23,551,0.094637,0.066246,0.029968,12038|12122|12146|12182|12222|12282|12314|12338|12442|12482|12542|12698|12734|12738|12814|12894|13010|13026|13066|13246|13250|13306|13390|13394|13398|13402|13430|13542|13774|13794|14002|14046|14082|14134|14162|14170|14174|14198|14202|14230|14238|14246|14266|14298|14326|14362|14370|14382|14426|14446|14454|14462|14502|14510|14526|14570|14574|14598|14626|14658
2020,440,73,49,24,49,25,342,0.165909,0.111364,0.054545,14722|14738|14774|14822|14902|14998|15018|15022|15078|15082|15118|15146|15166|15194|15198|15234|15246|15270|15278|15298|15318|15390|15430|15438|15446|15462|15466|15470|15478|15486|15502|15506|15510|15518|15522|15534|15558|15566|15582|15606|15622|15634|15638|15642|15722|15726|15754|15830|15850|15854|15890|15894|15910|15946|15958|15966|16002|16010|16026|16042|16158|16170|16230|16246|16250|16322|16426|16442|16462|16490|16494|16510|16522
2021,700,109,59,28,81,31,560,0.155714,0.084286,0.04,16566|16582|16590|16618|16642|16658|16682|16722|16734|16742|16754|16758|16762|16794|16806|16850|16866|16902|16906|17022|17078|17086|17166|17234|17246|17311|17323|17335|17342|17366|17374|17418|17438|17474|17493|17501|17589|17610|17617|17641|17665|17718|17782|17794|17802|17842|17862|17954|17990|17998|18026|18086|18094|18098|18114|18122|18177|18229|18301|18361|18369|18389|18417|18433|18493|18517|18549|18601|18625|18669|18697|18701|18717|18817|18857|18861|18873|18877|18885|18893|18901|18921|18937|18973|19001|19013|19033|19041|19069|19077|19089|19101|19137|19185|19201|19229|19245|19281|19293|19305|19309|19329|19361|19377|19381|19385|19389|19445|19465
2022,743,118,72,30,88,42,583,0.158816,0.096904,0.040377,19521|19541|19549|19577|19589|19593|19629|19641|19645|19662|19670|19682|19726|19738|19750|19754|19774|20022|20054|20070|20082|20090|20126|20177|20181|20189|20245|20266|20294|20310|20322|20358|20362|20394|20398|20418|20454|20522|20550|20562|20582|20610|20622|20646|20658|20706|20826|20838|20842|20986|21014|21034|21066|21086|21094|21122|21206|21210|21274|21298|21306|21458|21462|21486|21526|21566|21578|21622|21654|21666|21670|21678|21682|21710|21734|21742|21754|21778|21798|21818|21842|21882|21890|21898|21938|21978|21986|22006|22018|22026|22050|22066|22098|22102|22150|22158|22186|22202|22210|22214|22261|22273|22297|22301|22305|22333|22369|22385|22389|22397|22409|22458|22466|22474|22498|22505|22509|22565
2023,722,106,91,38,68,53,563,0.146814,0.126039,0.052632,22673|22689|22717|22741|22765|22781|22785|22793|22853|22873|22905|22917|23109|23117|23181|23237|23285|23317|23353|23357|23393|23401|23437|23453|23513|23526|23598|23658|23666|23762|23766|23786|23838|23846|23890|23898|23902|23914|23918|23922|23950|24014|24026|24030|24050|24074|24078|24086|24090|24170|24174|24198|24218|24226|24238|24254|24474|24510|24530|24534|24566|24574|24582|24606|24638|24694|24762|24790|24802|24806|24814|24822|24834|24882|24938|24946|24974|25014|25070|25094|25102|25106|25146|25150|25166|25194|25198|25202|25229|25241|25245|25253|25297|25301|25313|25337|25365|25381|25401|25425|25469|25537|25573|25585|25621|25629
2024,639,111,92,42,69,50,478,0.173709,0.143975,0.065728,25633|25653|25657|25673|25689|25693|25713|25725|25746|25774|25814|25890|25902|25930|25986|25994|26034|26082|26118|26126|26130|26146|26218|26234|26282|26286|26310|26358|26418|26422|26442|26462|26474|26486|26538|26542|26582|26642|26730|26758|26794|26830|26854|26866|26958|27002|27066|27078|27086|27130|27202|27246|27262|27266|27306|27342|27346|27350|27418|27442|27470|27482|27490|27502|27574|27586|27594|27642|27650|27682|27730|27778|27790|27830|27846|27850|27874|27882|27890|27906|27910|27918|27942|27958|27970|27986|27998|28002|28006|28030|28034|28046|28054|28090|28098|28106|28126|28146|28158|28174|28178|28182|28214|28226|28250|28286|28290|28298|28306|28326|28378
2025,536,110,81,42,68,39,387,0.205224,0.151119,0.078358,28454|28474|28494|28498|28518|28550|28578|28598|28618|28622|28630|28689|28734|28758|28770|28774|28838|28846|28850|28914|28918|28930|28946|28962|28990|29013|29029|29041|29053|29057|29065|29069|29081|29109|29113|29145|29149|29169|29173|29194|29206|29229|29249|29261|29265|29310|29314|29338|29346|29390|29434|29518|29522|29526|29530|29566|29582|29618|29630|29638|29674|29698|29714|29730|29734|29754|29786|29802|29810|29830|29858|29898|29906|29918|29970|29978|30002|30022|30034|30046|30054|30070|30090|30110|30178|30194|30217|30221|30241|30249|30265|30289|30298|30302|30337|30341|30345|30361|30362|30398|30426|30469|30509|30510|30522|30526|30542|30577|30589|30618
2026,207,43,43,15,28,28,136,0.207729,0.207729,0.072464,30609|30694|30698|30702|30734|30746|30838|30849|30853|30905|30925|30929|30957|31009|31021|31029|31061|31133|31141|31145|31157|31165|31189|31193|31213|31273|31281|31305|31313|31329|31349|31373|31377|31385|31389|31405|31413|31421|31441|31445|31453|31469|31513
