Id,Institution,Job title,AOS,AOC,Job type,Start time,Contract type,Deadline,How to apply,Date posted,PhilJobs page,Info link,Application link
26650,Suffolk University,Lecturer,Open,Ethics,Junior faculty,"September 4th, 2024",Fixed term,2024-07-24 (soft),Email,7/10/2024,http://philjobs.org/job/show/26650,,
26642,University of Lucerne,Professor (open rank),Philosophy and Blockchain,Philosophy and Blockchain,Faculty (open rank),"February 1, 2025 (or by agreement)",Contract type open,8/4/2024,Online,7/8/2024,http://philjobs.org/job/show/26642,https://www.unilu.ch/en/university/personnel/human-resources-department/vacancies/professor-of-philosophy-and-blockchain-100-open-rank-2017296/,https://www.unilu.ch/en/university/personnel/human-resources-department/vacancies/professor-of-philosophy-and-blockchain-100-open-rank-2017296/
26638,Radboud University,PhD position in Classical German Philosophy,Classical German Philosophy,Philosophical anthropology,Graduate fellowship,,Fixed term,8/15/2024,Online,7/8/2024,http://philjobs.org/job/show/26638,https://www.ru.nl/en/working-at/job-opportunities/phd-candidate-metaphysics-and-philosophical-anthropology,https://www.ru.nl/en/working-at/job-opportunities/phd-candidate-metaphysics-and-philosophical-anthropology
26634,"University of Colorado, Boulder",Visiting Researcher,Open,Open,Visiting fellowship / Professorship,"August, 2025",Fixed term,5/1/2025,Online,7/4/2024,http://philjobs.org/job/show/26634,https://jobs.colorado.edu/jobs/JobDetail/Visiting-Researcher/56833,https://jobs.colorado.edu/jobs/JobDetail/Visiting-Researcher/56833
26630,"University of Colorado, Boulder",Visiting Scholar in Conservative Thought and Policy,Open,Open,Senior faculty,,Fixed term,12/1/2024,Online,7/4/2024,http://philjobs.org/job/show/26630,https://jobs.colorado.edu/jobs/JobDetail/Visiting-Scholar-in-Conservative-Thought-and-Policy/56999,https://jobs.colorado.edu/jobs/JobDetail/Visiting-Scholar-in-Conservative-Thought-and-Policy/56999
26626,Gonzaga University,Docente (Lecturer),"Ethics, Applied Ethics","Ethics of mobility, sustainable and ethical tourism, ethical destination management, ethics of the city",Junior faculty,"January 2nd, 2025",Fixed term,9/15/2024,Email,7/4/2024,http://philjobs.org/job/show/26626,http://www.gonzaga.edu/gonzaga-in-florence,
26622,State University of New York at Buffalo,Postdoctoral Associate,PPE (especially mathematical and experimental philosophy),Open,Postdoc or similar,8/26/2024,Fixed term,2024-07-20 (soft),Online,7/3/2024,http://philjobs.org/job/show/26622,https://www.ubjobs.buffalo.edu/postings/51178,https://www.ubjobs.buffalo.edu/postings/51178
26618,University of Vienna,Tenure-Track Professor in the field of Applied Ethics,Applied Ethics,Practical Philosophy,Faculty (open rank),Late 2024 - Early 2025 (not yet determined),Tenure-track or similar,9/18/2024,Online,7/3/2024,http://philjobs.org/job/show/26618,https://jobs.univie.ac.at/job/Tenure-Track-Professor-in-the-field-of-Applied-Ethics/1087220101/,https://jobs.univie.ac.at/job/Tenure-Track-Professor-in-the-field-of-Applied-Ethics/1087220101/
26614,University of Oslo,Doctoral Research Fellow - Philosophy of Science,"Philosophy of science, Philosophy of biophysics, philosophy of biochemistry, philosophy of biology, philosophy of nanoscience","Philosophy of science, Philosophy of biology, philosophy of biochemistry, philosophy of biophysics, philosophy of nanoscience",Graduate fellowship,Dec 2024 or as soon as possible thereafter,Fixed term,8/15/2024,Online,7/3/2024,http://philjobs.org/job/show/26614,https://www.jobbnorge.no/en/available-jobs/job/261011/doctoral-research-fellow-in-philosophy-of-science-assemblinglife,https://www.jobbnorge.no/en/available-jobs/job/261011/doctoral-research-fellow-in-philosophy-of-science-assemblinglife
26610,UCD,Post-Doctoral Research Fellow,"Social Epistemology, Political Epistemology ",Value Theory,Postdoc or similar,"September 1, 2024 or soon thereafter ",Fixed term,8/2/2024,Online,7/3/2024,http://philjobs.org/job/show/26610,https://www.ucd.ie/workatucd/jobs/,https://universityvacancies.com/university-college-dublin/ucd-post-doct-fellow-l1-peritia-philosophy-24-months
26606,Western University,Postdoctoral Associate in the Ethics of Randomized Controlled Trials,Ethics/ Bioethics,Open,Postdoc or similar,1-Oct-24,Fixed term,8/30/2024,Email,7/2/2024,http://philjobs.org/job/show/26606,https://grad.uwo.ca/doc/postdoc/opportunities/PDF%20AD%20Ethics%20of%20RCTs.pdf,
26602,University of Pittsburgh,Visiting Professor,History and/or Philosophy of Cognitive Science and/or Neuroscience ,Open,Visiting fellowship / Professorship,1-Jan-25,Fixed term,2024-08-15 (soft),Online,7/2/2024,http://philjobs.org/job/show/26602,,https://cfopitt.taleo.net/careersection/pitt_faculty_external/jobdetail.ftl?job=24004737&tz=GMT-04%3A00&tzname=America%2FNew_York
26554,Radboud University,PhD Candidate: Philosophy of Science: Causal Inquiry in the Social Sciences,Philosophy of the Social Sciences,Open,Graduate fellowship,January 2025 at the latest,Fixed term,8/18/2024,Online,6/24/2024,http://philjobs.org/job/show/26554,https://www.ru.nl/en/working-at/job-opportunities/phd-candidate-philosophy-of-science-causal-inquiry-in-the-social-sciences,https://www.ru.nl/en/working-at/job-opportunities/phd-candidate-philosophy-of-science-causal-inquiry-in-the-social-sciences
26594,"Technion, Israel Institute of Technology","JOB: Postdoctoral Position in the History of Atomism at the Technion, Israel Institute of Technology",History of Philosophy,History of science,Postdoc or similar,Flexible,Fixed term,2024-07-24 (soft),See ad,6/29/2024,http://philjobs.org/job/show/26594,https://humanities.technion.ac.il/en/courses/postdoctoral-position-in-history-of-atomism/,
26590,"Technion, Israel Institute of Technology","JOB: Ph.D. candidate position in the History of Atomism at the Technion, Israel Institute of Technology",History of philosophy,History of science,Graduate fellowship,Flexible,Fixed term,2024-07-24 (soft),Email,6/29/2024,http://philjobs.org/job/show/26590,,
26598,Hebrew University of Jerusalem,"Regular Faculty (Lecturer, Senior Lecturer, Professor, or Full Professor) ","Political Philosophy, Philosophy of Social Science or other PPE related fields ",Any PPE related field ,Faculty (open rank),,Tenure-track or similar,9/30/2024,Online,7/2/2024,http://philjobs.org/job/show/26598,,http://ttp.huji.ac.il
26586,University of Central Florida,"Visiting Instructor or Lecturer, Philosophy"," Philosophy,  Humanities and Cultural Studies",Open,Visiting fellowship / Professorship,8-Aug-24,Fixed term,8/31/2024,Online,6/28/2024,http://philjobs.org/job/show/26586,https://jobs.ucf.edu/jobs/visiting-instructor-or-lecturer-philosophy-orlando-florida-united-states,https://jobs.ucf.edu/jobs/visiting-instructor-or-lecturer-philosophy-orlando-florida-united-states
26582,University of Technology Nuremberg,Professor (m/f/d) (W3) of the History of Philosophy with Special Focus on Early Modern Philosophy ,History of Philosophy with Special Focus on Early Modern Philosophy,The application of philological research methods is welcomed.,Senior faculty,At the earliest possible date,"Tenured, continuing or permanent",7/19/2024,Online,6/28/2024,http://philjobs.org/job/show/26582,https://www.utn.de/en/career/professorships/,https://jobs.utn.de/jobposting/4d3fd4052c82cda53b04860f1d1438bcd13b81cb0
26578,Johannes Kepler University of Linz,4-year PhD Fellowship in Philosophy of Science,Philosophy of science or philosophy of the social sciences or philosophy of economics or philosophy of medicine,Open,Graduate fellowship,1-Oct-24,Fixed term,7/10/2024,Online,6/27/2024,http://philjobs.org/job/show/26578,https://karriere.jku.at/hcm/jobexchange/showJobOfferDetail.do?jobOfferId=0cce88bc8f5713d3018fbeeb3b5116d9&j=&languageChanged=true,https://karriere.jku.at/hcm/jobexchange/renderApplicationForm.do?j=&organizationUnitId=&source=&jobOfferId=0cce88bc8f5713d3018fbeeb3b5116d9
26574,Umeå University,Postdoctoral Scholarship,"Philosophy of AI, Philosophy of Language, or Philosophy of Mind","Philosophy of AI, Philosophy of Language, or Philosophy of Mind",Postdoc or similar,"January 1st, 2025 or by agreement",Fixed term,9/16/2024,Email,6/27/2024,http://philjobs.org/job/show/26574,https://www.umu.se/en/work-with-us/postdoctoral-scholarships/7-963-24/,
26570,Princeton University,Harold T. Shapiro Postdoctoral Research Associate in Bioethics,Bioethics,Bioethics,Postdoc or similar,1-Sep-25,Fixed term,11/25/2024,Online,6/26/2024,http://philjobs.org/job/show/26570,https://uchv.princeton.edu/open-positions/harold-t-shapiro-postdoctoral-research-associate-bioethics,https://puwebp.princeton.edu/AcadHire/apply/application.xhtml?listingId=35121
26566,University of Tennessee,Postdoctoral Teaching Associate,Open,"social/political philosophy and philosophy of law is strongly preferred, theory and/or history of ethics is also desired",Postdoc or similar,1-Aug-24,Fixed term,2024-07-01 (soft),Online,6/25/2024,http://philjobs.org/job/show/26566,,https://apply.interfolio.com/148028
26562,Princeton University,Laurance S. Rockefeller Visiting Faculty Fellowships,Open,Open,Visiting fellowship / Professorship,1-Sep-25,Fixed term,10/18/2024,Online,6/24/2024,http://philjobs.org/job/show/26562,https://uchv.princeton.edu/open-positions/laurance-s-rockefeller-visiting-faculty-fellowships,https://puwebp.princeton.edu/AcadHire/apply/application.xhtml?listingId=35003
26550,Pennsylvania State University,Assistant Teaching Professor of Philosophy (History focus),Open,Open,Visiting fellowship / Professorship,Aug-24,Fixed term,---,Online,6/21/2024,http://philjobs.org/job/show/26550,http://www.psu.edu,https://apptrkr.com/5341201
26490,Tel Aviv University,"Political philosophy, philosophy of economics, philosophy of law, philosophy of social science."," political philosophy, philosophy of economics, philosophy of law, philosophy of social science.",Open,Faculty (open rank),,Tenure-track or similar,8/1/2024,Email,6/16/2024,http://philjobs.org/job/show/26490,,
26546,Northern Arizona University,"Visiting Assistant Teaching Professor, Philosophy","Ethics, Applied Ethics, esp. Healthcare Ethics or similar","Ethics, Applied Ethics, esp. Healthcare Ethics or similar",Visiting fellowship / Professorship,Aug-24,Fixed term,2024-07-02 (soft),Online,6/20/2024,http://philjobs.org/job/show/26546,,http://nau.jobs
26542,"Technion, Israel Institute of Technology",Post-doctoral fellow in AI Ethics,"Applied Ethics, Political Philosophy, Technology Ethics, Philosophy of Technology","Epistemology, Philosophy of Science, Ancient Greek philosophy",Postdoc or similar,Immediate,Fixed term,2024-08-15 (soft),Email,6/20/2024,http://philjobs.org/job/show/26542,https://humanities.technion.ac.il/en/courses/call-for-post-doc-fellowship-in-ethics-of-ai/,
